Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
ZoomAway Travel Inc. (TSXV:ZMA),2005.00,16.00,0.00,7.31,3.56,-4.13,1.19,0.73,2.31,33.50,1.02,26.30,-0.56,31.30,-32.77,0.02,30.68,0.21,0.35
"Brownie's Marine Group, Inc. (OTCPK:BWMG)",2005.00,16.00,0.00,2.94,0.98,-0.10,0.03,0.54,0.61,0.99,0.06,28.50,-0.03,0.97,-0.45,0.55,15.14,2.17,0.39
GreenLink International Inc. (OTCPK:WSHE),2005.00,16.00,0.00,4.53,1.56,0.02,0.11,1.21,1.63,1.07,0.32,0.32,0.01,0.04,0.14,1.13,0.11,1.38,0.44
Multimedia Nova Corporation,2005.00,16.00,0.00,11.60,4.54,-0.23,0.71,5.88,11.20,2.66,-1.36,8.68,-0.02,6.16,3.22,2.21,-4.53,0.59,0.47
eMedia Networks International Corporation,2005.00,16.00,0.00,1.06,0.49,-0.20,0.05,0.10,0.63,0.30,0.04,5.57,-0.19,0.26,-0.21,0.32,6.41,0.26,0.51
Granville Pacific Capital Corp.,2005.00,16.00,0.00,5.25,1.18,0.18,0.69,0.26,5.88,0.91,0.48,5.90,0.03,4.08,-0.65,0.28,8.46,0.68,0.55
"FXI, Inc.",2005.00,4.00,1.00,1231.50,142.50,-56.20,82.90,341.90,601.30,361.30,-22.90,8.97,-0.05,743.61,-19.40,0.95,-32.47,77.00,0.74
Interplay Entertainment Corp. (OTCPK:IPLY),2005.00,1.00,1.00,7.16,6.68,5.93,3.63,0.65,0.67,12.20,0.09,0.35,0.83,1.28,-11.55,0.05,13.74,1.78,0.75
Urbanfund Corp. (TSXV:UFC),2005.00,16.00,0.00,1.10,0.52,-0.25,0.28,1.83,12.60,0.13,-0.03,32.00,-0.22,8.80,1.71,14.64,-266.67,0.62,0.76
STT Enviro Corp.,2005.00,16.00,0.00,6.02,1.68,0.12,0.24,2.00,2.23,0.99,0.23,0.00,0.02,0.00,1.01,2.03,0.00,,0.76
"China Stationery and Office Supply, Inc.",2005.00,16.00,0.00,37.30,4.11,0.37,1.46,9.60,17.20,12.30,1.93,4.58,0.01,6.69,-2.70,0.78,3.46,3.79,0.82
"Oakridge Holdings, Inc.",2005.00,16.00,0.00,16.20,1.99,-0.05,0.58,6.12,15.10,5.59,0.63,5.73,0.00,3.32,0.53,1.09,5.24,1.58,0.93
Nordex Explosives Ltd.,2005.00,16.00,0.00,3.15,0.74,0.20,0.28,1.07,1.78,0.93,0.37,0.17,0.06,0.05,0.14,1.15,0.12,0.40,0.95
